name	start	end	strand	col	fill	lwd
L	1548698947	1548698947	1	6	6	0.01
L	1500852738	1500852738	1	6	6	0.01
L	942581786	942581786	1	6	6	0.01
L	1474879014	1474879014	1	6	6	0.01
L	1474018164	1474018164	1	6	6	0.01
L	1470775424	1470775424	1	6	6	0.01
L	1573234794	1573234794	1	6	6	0.01
L	1541633573	1541633573	1	6	6	0.01
L	1544133910	1544133910	1	6	6	0.01
L	942983630	942983630	1	6	6	0.01
L	1542804770	1542804770	1	6	6	0.01
L	1100939475	1100939475	1	6	6	0.01
L	1535804893	1535804893	1	6	6	0.01
L	1541029515	1541029515	1	6	6	0.01
L	1542916662	1542916662	1	6	6	0.01
L	897290518	897290518	1	6	6	0.01
L	988400794	988400794	1	6	6	0.01
L	4697777832	4697777832	1	6	6	0.01
L	4707300872	4707300872	1	6	6	0.01
L	4707126963	4707126963	1	6	6	0.01
L	3388112208	3388112208	1	6	6	0.01
L	3551409657	3551409657	1	6	6	0.01
L	3387474248	3387474248	1	6	6	0.01
L	3387705329	3387705329	1	6	6	0.01
L	2321926047	2321926047	1	6	6	0.01
L	3387938281	3387938281	1	6	6	0.01
L	3539091411	3539091411	1	6	6	0.01
L	3538803114	3538803114	1	6	6	0.01
L	3386729965	3386729965	1	6	6	0.01
L	2335244970	2335244970	1	6	6	0.01
L	2433242354	2433242354	1	6	6	0.01
L	2432706595	2432706595	1	6	6	0.01
L	2438845405	2438845405	1	6	6	0.01
L	4775692215	4775692215	1	6	6	0.01
L	3543205506	3543205506	1	6	6	0.01
L	2433837273	2433837273	1	6	6	0.01
L	3544574406	3544574406	1	6	6	0.01
L	3539425190	3539425190	1	6	6	0.01
L	2345178551	2345178551	1	6	6	0.01
L	169746378	169746378	1	6	6	0.01
L	642367646	642367646	1	6	6	0.01
L	752997022	752997022	1	6	6	0.01
L	718725641	718725641	1	6	6	0.01
L	839497430	839497430	1	6	6	0.01
L	3663078727	3663078727	1	6	6	0.01
L	3664380439	3664380439	1	6	6	0.01
L	814281659	814281659	1	6	6	0.01
L	3663109302	3663109302	1	6	6	0.01
L	793055171	793055171	1	6	6	0.01
L	608683636	608683636	1	6	6	0.01
L	711104286	711104286	1	6	6	0.01
L	610375855	610375855	1	6	6	0.01
L	792564740	792564740	1	6	6	0.01
L	752568943	752568943	1	6	6	0.01
L	3770752918	3770752918	1	6	6	0.01
L	3770698080	3770698080	1	6	6	0.01
L	3770660119	3770660119	1	6	6	0.01
L	3623419954	3623419954	1	6	6	0.01
L	785762784	785762784	1	6	6	0.01
L	786035297	786035297	1	6	6	0.01
L	789241405	789241405	1	6	6	0.01
L	789342477	789342477	1	6	6	0.01
L	644973574	644973574	1	6	6	0.01
L	646889777	646889777	1	6	6	0.01
L	3683836681	3683836681	1	6	6	0.01
L	840630124	840630124	1	6	6	0.01
L	700418384	700418384	1	6	6	0.01
L	3753377008	3753377008	1	6	6	0.01
L	641162331	641162331	1	6	6	0.01
L	640488897	640488897	1	6	6	0.01
L	760854014	760854014	1	6	6	0.01
L	3691141461	3691141461	1	6	6	0.01
L	3691808730	3691808730	1	6	6	0.01
L	4213998838	4213998838	1	6	6	0.01
L	633242725	633242725	1	6	6	0.01
L	1481346404	1481346404	1	6	6	0.01
L	1502157506	1502157506	1	6	6	0.01
L	1511518977	1511518977	1	6	6	0.01
L	4564704314	4564704314	1	6	6	0.01
L	4564570155	4564570155	1	6	6	0.01
L	4563324674	4563324674	1	6	6	0.01
L	3642145436	3642145436	1	6	6	0.01
L	3680309088	3680309088	1	6	6	0.01
L	2963988842	2963988842	1	6	6	0.01
L	769273561	769273561	1	6	6	0.01
L	818960857	818960857	1	6	6	0.01
L	604209265	604209265	1	6	6	0.01
L	789981332	789981332	1	6	6	0.01
L	303906583	303906583	1	6	6	0.01
L	831811156	831811156	1	6	6	0.01
L	3627702471	3627702471	1	6	6	0.01
L	603435962	603435962	1	6	6	0.01
L	653850473	653850473	1	6	6	0.01
L	624996048	624996048	1	6	6	0.01
L	625338280	625338280	1	6	6	0.01
L	1074340538	1074340538	1	6	6	0.01
L	885646800	885646800	1	6	6	0.01
L	1099966227	1099966227	1	6	6	0.01
L	897562678	897562678	1	6	6	0.01
L	5149165406	5149165406	1	6	6	0.01
L	5148668864	5148668864	1	6	6	0.01
L	5148581652	5148581652	1	6	6	0.01
L	4653513223	4653513223	1	6	6	0.01
L	488806924	488806924	1	6	6	0.01
L	5146101764	5146101764	1	6	6	0.01
L	5107973325	5107973325	1	6	6	0.01
L	3748627394	3748627394	1	6	6	0.01
L	3283541952	3283541952	1	6	6	0.01
L	5122353613	5122353613	1	6	6	0.01
L	5122509849	5122509849	1	6	6	0.01
L	3229209214	3229209214	1	6	6	0.01
L	3227692224	3227692224	1	6	6	0.01
L	3230450519	3230450519	1	6	6	0.01
L	3230291508	3230291508	1	6	6	0.01
L	3312065690	3312065690	1	6	6	0.01
L	5048780346	5048780346	1	6	6	0.01
L	5109925030	5109925030	1	7	7	0.01
L	4712606522	4712606522	1	7	7	0.01
L	4712640424	4712640424	1	7	7	0.01
L	4715680515	4715680515	1	7	7	0.01
L	4787155488	4787155488	1	7	7	0.01
L	5151131114	5151131114	1	7	7	0.01
L	4776900794	4776900794	1	7	7	0.01
L	5159614757	5159614757	1	7	7	0.01
L	4784903092	4784903092	1	7	7	0.01
L	4776988268	4776988268	1	7	7	0.01
L	3198775656	3198775656	1	7	7	0.01
L	3314619491	3314619491	1	7	7	0.01
L	3314744908	3314744908	1	7	7	0.01
L	3314826751	3314826751	1	7	7	0.01
L	3315595651	3315595651	1	7	7	0.01
L	3359364433	3359364433	1	7	7	0.01
L	4138188688	4138188688	1	7	7	0.01
L	3319119899	3319119899	1	7	7	0.01
L	2348621	2348621	1	7	7	0.01
L	1287986350	1287986350	1	7	7	0.01
L	3332934641	3332934641	1	7	7	0.01
L	970771	970771	1	7	7	0.01
L	3328007998	3328007998	1	7	7	0.01
L	416492798	416492798	1	7	7	0.01
L	416445056	416445056	1	7	7	0.01
L	2083548177	2083548177	1	7	7	0.01
L	2230650802	2230650802	1	7	7	0.01
L	2244916495	2244916495	1	7	7	0.01
L	4647551405	4647551405	1	7	7	0.01
L	290507670	290507670	1	7	7	0.01
L	293592376	293592376	1	7	7	0.01
L	4525401740	4525401740	1	7	7	0.01
L	4525291629	4525291629	1	7	7	0.01
L	309385681	309385681	1	7	7	0.01
L	405228865	405228865	1	7	7	0.01
L	4459632878	4459632878	1	7	7	0.01
L	4466173875	4466173875	1	7	7	0.01
L	4404904037	4404904037	1	7	7	0.01
L	4431243896	4431243896	1	7	7	0.01
L	4450774069	4450774069	1	7	7	0.01
L	4450645163	4450645163	1	7	7	0.01
L	254501862	254501862	1	7	7	0.01
L	4577427930	4577427930	1	7	7	0.01
L	4495807597	4495807597	1	7	7	0.01
